time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range
155648,682.27,5209,29,53.55529799999999,76,0.001498919063649211,0.5405753254890442,-0.9556134762732607,-0.007973297131492904,1425,0.9498748183250427,0.01452948,4.0998336633569314,0.15090460526315788,0.25
157696,689.26,5209,30,54.46889346999999,77,0.001498919063649211,2.3132147789001465,-1.03704271740035,-0.008177650704869609,1444,0.8951098918914795,0.016454745,10.603728785326606,0.06648334703947369,0.25
159744,681.87,5208,30,56.322299740000005,78,0.001498919063649211,0.4096243381500244,-1.0306298693543987,-0.017798077722545713,1463,0.9817224740982056,0.019743703,2.007236919512874,0.0947522615131579,0.25
161792,677.8,5196,31,55.958101930000005,79,0.001498919063649211,17.156875610351562,-1.004136814098609,-0.011294407552524813,1482,0.8037739992141724,0.018984072,46.09876649944406,0.11636513157894737,0.25
163840,677.18,5192,31,57.86020947000001,80,0.001498919063649211,0.4364425539970398,-1.0434518044716434,-0.012261864577579362,1501,0.923176646232605,0.027765768,13.904555039970498,0.09971217105263158,0.25
165888,674.05,5196,31,60.87858117999999,81,0.001498919063649211,0.7801333665847778,-0.9314261604296533,-0.014598345330389412,1520,0.9646081924438477,0.015328472,5.222656298624842,0.09441817434210527,0.25
167936,674.04,5199,32,62.63894757999999,82,0.001498919063649211,2.149996519088745,-0.9325364094815756,-0.01192952891180635,1539,0.9258654117584229,0.0110698305,21.900776185487445,0.04957339638157895,0.25
169984,689.82,5189,32,66.63837853,83,0.001498919063649211,0.7122258543968201,-1.0558046565244072,-0.00820175665246911,1558,0.9731923341751099,0.0210066,4.050017900764942,0.07470703125,0.25
172032,702.59,5147,33,69.26870191,84,0.001498919063649211,1.2277518510818481,-1.030663306775846,-0.0063020618323016125,1577,0.990475594997406,0.011490905,1.7789885409568484,0.08609169407894737,0.25
174080,695.05,5141,33,69.10379564,85,0.001498919063649211,0.3322645127773285,-1.033145170462759,-0.0075102942661798905,1596,0.986631453037262,0.016506745,2.828157564919246,0.1039782072368421,0.25
176128,699.97,5137,34,70.24696312999998,86,0.001498919063649211,1.2940287590026855,-1.0167366054497267,-0.01035542367485744,1615,0.9551959037780762,0.025450975,9.21144189411088,0.0990953947368421,0.25
178176,699.7,5127,34,72.28601713999998,87,0.001498919063649211,20.631105422973633,-0.7926433529508742,-0.012987231425205735,1634,0.9495453238487244,0.03403886,46.085203192735975,0.15049342105263158,0.25
180224,707.44,5125,35,76.72601119999999,88,0.001498919063649211,16.593358993530273,-1.0809510522767116,-0.0045298837434721035,1653,0.851285457611084,0.0134323845,48.2549740797595,0.027549342105263157,0.25
182272,722.52,5124,35,81.41390362,89,0.001498919063649211,5.088425636291504,-0.8612189081154371,-0.0075318615207307675,1672,0.8442335724830627,0.011165451,24.64411044434497,0.03289473684210526,0.25
184320,734.58,5126,35,86.31120954,90,0.001498919063649211,0.5551303029060364,-0.976943125850276,-0.009251115304466925,1691,0.9792587757110596,0.012621378,2.015337404451872,0.14676706414473684,0.25
186368,750.57,5124,36,92.85848073,91,0.001498919063649211,0.5911900401115417,-1.0122359414633952,-0.010577343235797199,1710,0.9859699010848999,0.02601968,1.8431126741986525,0.12135074013157894,0.25
188416,756.77,5127,36,93.10946697,92,0.001498919063649211,0.3344712555408478,-0.9672145674887457,-0.005593910568246716,1729,0.9183890223503113,0.015844386,4.826183770440127,0.06560958059210527,0.25
190464,770.05,5130,37,101.94474134000001,93,0.001498919063649211,0.4080967307090759,-0.9700259287890635,-0.005926943921765901,1748,0.993733286857605,0.012792893,1.0684453137218952,0.06861636513157894,0.25
192512,778.28,5132,37,103.78782954999998,94,0.001498919063649211,4.7951130867004395,-0.9004378577596263,-0.011425472768391237,1767,0.7492079734802246,0.019942448,29.079611091237318,0.09655119243421052,0.25
194560,790.75,5131,37,107.88887317000001,95,0.001498919063649211,0.3240216076374054,-0.8693967528249088,-0.010945576549458661,1786,0.9912012815475464,0.019702166,1.0308047491861017,0.19921875,0.25
196608,798.32,5132,38,108.75147707000002,96,0.001498919063649211,0.3487855792045593,-0.8880912132169071,-0.006121673072859841,1805,0.988821804523468,0.017545536,1.5801875183456822,0.08246813322368421,0.25
198656,806.88,5130,38,110.56031563,97,0.001498919063649211,0.7033247947692871,-0.8466971971486744,-0.006634865801683382,1824,0.956612765789032,0.008324155,2.6719011602629172,0.03407689144736842,0.25
200704,811.05,5118,39,111.77902820999999,98,0.001498919063649211,0.34650593996047974,-0.8192608670184487,-0.01144660566933453,1843,0.9838060140609741,0.026090126,1.5349080750816746,0.17267166940789475,0.25
